restaurant_id,master_business_id,name,business_status,address,city,website,geometry_location_lat,geometry_location_lng,geometry_viewport_northeast_lat,geometry_viewport_northeast_lng,geometry_viewport_southwest_lat,geometry_viewport_southwest_lng,opening_hours_open_now,place_id,plus_code_compound_code,plus_code_global_code,price_level,rating,reference,types,user_ratings_total,normalized_name,is_active,created_at
125,525,Euro Market Delicatessen,OPERATIONAL,"3480 Fairview St, Burlington, ON L7N 2R5, Canada", Burlington,"NULL",43.3575,-79.7814,43.3589,-79.7801,43.3562,-79.7828,f,ChIJU4T_aUxgK4gR494vw_fkS8I,"9659+2C Burlington, Ontario",87M29659+2C,NULL,4.7,ChIJU4T_aUxgK4gR494vw_fkS8I,food,55,euro market delicatessen,t,2024-12-31 05:24:01.544422
126,698,Select Sandwich Corporate Catering,OPERATIONAL,"5515 N Service Rd, Burlington, ON L7L 6G4, Canada", Burlington,"NULL",43.39583,-79.763,43.3973,-79.7615,43.3946,-79.7642,f,ChIJeXg4gLhgK4gR_3Uy_xXYYno,"96WP+8Q Burlington, Ontario",87M296WP+8Q,NULL,4.4,ChIJeXg4gLhgK4gR_3Uy_xXYYno,restaurant,17,select sandwich corporate catering,t,2024-12-31 05:24:01.584517
127,697,Delimark Cafe,OPERATIONAL,"5500 N Service Rd, Burlington, ON L7L 6W6, Canada", Burlington,"NULL",43.39614,-79.7613,43.39733,-79.76,43.39463,-79.7627,f,ChIJrX0Ii7hgK4gR31rQGzwG9Ng,"96WQ+FF Burlington, Ontario",87M296WQ+FF,NULL,5,ChIJrX0Ii7hgK4gR31rQGzwG9Ng,restaurant,8,delimark cafe,t,2024-12-31 05:24:01.62513
128,609,iBUTCHER Fine Halal Meat & iGROCERY,OPERATIONAL,"4265 Thomas Alton Blvd #11, Burlington, ON L7M 0Z4, Canada", Burlington,"NULL",43.40081,-79.8229,43.40213,-79.8214,43.39943,-79.8241,f,ChIJ__-_w1thK4gRy-SXxyxnk14,"C52G+8V Burlington, Ontario",87M2C52G+8V,NULL,4.5,ChIJ__-_w1thK4gRy-SXxyxnk14,food,127,ibutcher fine halal meat & igrocery,t,2024-12-31 05:24:01.662886
129,278,Village Boutique Foods,OPERATIONAL,"2049 Pine St, Burlington, ON L7R 1E9, Canada", Burlington,"NULL",43.32638,-79.7949,43.32771,-79.7936,43.32501,-79.7963,f,ChIJs0Vii8CfLIgRWhZqs20e9Ig,"86G4+H2 Burlington, Ontario",87M286G4+H2,NULL,4.1,ChIJs0Vii8CfLIgRWhZqs20e9Ig,grocery_or_supermarket,9,village boutique foods,t,2024-12-31 05:24:01.712708
130,546,BAB Korean Food & BBQ,OPERATIONAL,"3550 Dundas St Unit 1, Burlington, ON L7M 4B8, Canada", Burlington,"NULL",43.38995,-79.823,43.39135,-79.8217,43.38865,-79.8244,f,ChIJIxf5yLthK4gROLLu9DoPZaE,"95QG+XR Burlington, Ontario",87M295QG+XR,NULL,4.6,ChIJIxf5yLthK4gROLLu9DoPZaE,restaurant,237,bab korean food & bbq,t,2024-12-31 05:24:01.752299
131,712,Greek Market Chicken,OPERATIONAL,"581 Brant St, Burlington, ON L7R 2G6, Canada", Burlington,"NULL",43.32963,-79.8022,43.33098,-79.8009,43.32828,-79.8036,f,ChIJG-9L2XCfLIgRuINd5WlSGA8,"85HX+V4 Burlington, Ontario",87M285HX+V4,NULL,4.5,ChIJG-9L2XCfLIgRuINd5WlSGA8,restaurant,109,greek market chicken,t,2024-12-31 05:24:01.790652
132,318,Mikaela's Kitchen,OPERATIONAL,"2236 Mountainside Dr, Burlington, ON L7P 1B6, Canada", Burlington,"NULL",43.34926,-79.8169,43.35064,-79.8157,43.34794,-79.8184,f,ChIJJWerR-5hK4gRmbf_mBBiaCY,"85XM+P6 Burlington, Ontario",87M285XM+P6,NULL,4.5,ChIJJWerR-5hK4gRmbf_mBBiaCY,restaurant,160,mikaela's kitchen,t,2024-12-31 05:24:01.830744
133,85,Shawarma Alzaeem,OPERATIONAL,"1235 Fairview St Unit C4, Burlington, ON L7S 1Y3, Canada", Burlington,https://www.alzaeem.ca/,43.33104,-79.8194,43.33241,-79.818,43.32972,-79.8207,f,ChIJA8N_HzefLIgRxYILeiS9voI,"85JJ+C6 Burlington, Ontario",87M285JJ+C6,NULL,4.7,ChIJA8N_HzefLIgRxYILeiS9voI,restaurant,731,shawarma alzaeem,t,2024-12-31 05:24:01.870583
134,12,Sana Grill Burlington,OPERATIONAL,"1015 Cedarwood Pl, Burlington, ON L7T 3J4, Canada", Burlington,"NULL",43.32136,-79.8343,43.32265,-79.833,43.31995,-79.8357,f,ChIJ9YgR3-CdLIgRY_9EW8iRU4A,"85C8+G7 Burlington, Ontario",87M285C8+G7,NULL,4.8,ChIJ9YgR3-CdLIgRY_9EW8iRU4A,restaurant,698,sana grill burlington,t,2024-12-31 05:24:01.908836
