deal_id,restaurant_id,title,description,price,day_of_week,category,second_category,start_time,end_time,is_approved,is_promoted,promoted_until,created_by,created_at,updated_at,price_per_wing,deal_type,category_details,price_type,flat_price,percentage_discount,promotion_tier
32,399,Deal 32,"$6.99 Coors Light, Canadian & Miller Lite Pints till 5pm",6.99,Saturday,Drinks,Beer,11:30:00,17:00:00,t,f,NULL,NULL,2024-12-31 05:24:46.278436,2025-01-01 17:37:29.910697,NULL,flat,NULL,fixed,6.99,NULL,0
31,399,Deal 31,$6 Caesars 11:30am - 3pm,6.00,Saturday,Drinks,Caesar,11:30:00,15:00:00,t,f,NULL,NULL,2024-12-31 05:24:46.236051,2025-01-01 17:37:30.843608,NULL,flat,NULL,fixed,6.00,NULL,0
30,399,Deal 30,$3.99 Kids Meals,3.99,Saturday,Kids,,17:00:00,20:00:00,t,f,NULL,NULL,2024-12-31 05:24:46.19881,2025-01-01 17:37:31.835885,NULL,flat,NULL,fixed,3.99,NULL,0
27,399,Deal 27,$6.49 Swan Lager Pints,6.49,Friday,Drinks,Beer,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:46.076123,2025-01-01 17:37:34.720196,NULL,flat,NULL,fixed,6.49,NULL,0
26,399,Deal 26,$14.99 1pc Fish & Chips,14.99,Friday,Fish and Chips,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:46.037694,2025-01-01 17:37:35.582671,NULL,flat,NULL,fixed,14.99,NULL,0
24,399,Deal 24,"$6.99 Coors Light, Canadian & Miller Lite Pints till 5pm",6.99,Thursday,Drinks,Beer,11:30:00,17:00:00,t,f,NULL,NULL,2024-12-31 05:24:45.961906,2025-01-01 17:37:37.34101,NULL,flat,NULL,fixed,6.99,NULL,0
23,399,Deal 23,$8 Martinis,8.00,Thursday,Drinks,Martini,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:45.923389,2025-01-01 17:37:38.261771,NULL,flat,NULL,fixed,8.00,NULL,0
22,399,Deal 22,$18.99 Beef Dip,18.99,Thursday,Sandwhiches,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:45.87986,2025-01-01 17:37:39.153059,NULL,flat,NULL,fixed,18.99,NULL,0
15,399,Deal 15,1/2 Price Wings,9.50,Tuesday,Wings,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:45.611927,2024-12-31 22:43:22.498064,1.06,flat,NULL,fixed,9.50,NULL,0
11,399,Deal 11,1/2 Price Wings,9.50,Monday,Wings,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:45.448151,2024-12-31 22:43:27.338023,1.06,flat,NULL,fixed,9.50,NULL,0
12,399,Deal 12,$1 off Mini Jugs,0.00,Monday,Drinks,Beer,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:45.492228,2024-12-31 22:43:26.244227,NULL,flat,NULL,fixed,0.00,NULL,0
10,846,Deal 10,Wing Night ,12.50,Sunday,Wings,,NULL,NULL,t,f,NULL,NULL,2024-12-31 05:24:45.41073,2024-12-31 22:43:28.577499,1.39,flat,NULL,fixed,12.50,NULL,0
110,976,Deal 140,Industry Night,6.00,Monday,Drinks,Spirits,21:00:00,02:00:00,t,f,NULL,NULL,2024-12-31 05:24:49.399911,2024-12-31 17:32:05.229501,NULL,flat,NULL,fixed,6.00,NULL,0
