"id","name","business_status","formatted_address","city","website","geometry_location_lat","geometry_location_lng","geometry_viewport_northeast_lat","geometry_viewport_northeast_lng","geometry_viewport_southwest_lat","geometry_viewport_southwest_lng","opening_hours_open_now","place_id","plus_code_compound_code","plus_code_global_code","price_level","rating","reference","types","user_ratings_total","normalized_name","master_business_id"
493,"The Harbour Diner","OPERATIONAL","486 James St N, Hamilton, ON L8L 1J1, Canada"," Hamilton",NULL,"43.26942000","-79.86330000","43.27078000","-79.86200000","43.26808000","-79.86470000",True,"ChIJY4u7B3qcLIgRw_ECCsNzPJ8","749P+QM Hamilton, Ontario","87M2749P+QM",2,"4.4","ChIJY4u7B3qcLIgRw_ECCsNzPJ8","restaurant",1092,"the harbour diner",656
494,"Denny's","OPERATIONAL","560 Centennial Pkwy N, Hamilton, ON L8E 0G2, Canada"," Hamilton",NULL,"43.24421000","-79.75620000","43.24533000","-79.75490000","43.24263000","-79.75760000",True,"ChIJ8aeFzIWZLIgRxsFGSkohS6g","66VV+MG Hamilton, Ontario","87M266VV+MG",2,"4.3","ChIJ8aeFzIWZLIgRxsFGSkohS6g","restaurant",2182,"denny's",518
495,"The Dirty South","OPERATIONAL","590 Concession St, Hamilton, ON L8V 2W5, Canada"," Hamilton",NULL,"43.24053000","-79.85070000","43.24194000","-79.84940000","43.23924000","-79.85210000",True,"ChIJx8_R08ebLIgR7FF_hrvTGrQ","64RX+6P Hamilton, Ontario","87M264RX+6P",2,"4.2","ChIJx8_R08ebLIgR7FF_hrvTGrQ","restaurant",460,"the dirty south",3
496,"Dim Sum House","OPERATIONAL","173 King St E, Hamilton, ON L8N 1B3, Canada"," Hamilton",NULL,"43.25517000","-79.86380000","43.25644000","-79.86260000","43.25374000","-79.86530000",False,"ChIJo5fEoqSbLIgRXQ-m8btT1nE","744P+3F Hamilton, Ontario","87M2744P+3F",2,"4.4","ChIJo5fEoqSbLIgRXQ-m8btT1nE","restaurant",273,"dim sum house",192
497,"Charred Rotisserie House","CLOSED_TEMPORARILY","244 James St N, Hamilton, ON L8R 2L2, Canada"," Hamilton",NULL,"43.26277000","-79.86620000","43.26415000","-79.86500000","43.26145000","-79.86770000",NULL,"ChIJ7ZTHCIebLIgRGOU-bYHFazQ","747M+4G Hamilton, Ontario","87M2747M+4G",2,"4.4","ChIJ7ZTHCIebLIgRGOU-bYHFazQ","restaurant",1211,"charred rotisserie house",362
498,"La Luna Downtown","OPERATIONAL","306 King St W, Hamilton, ON L8P 1B1, Canada"," Hamilton",NULL,"43.25942000","-79.87850000","43.26075000","-79.87710000","43.25805000","-79.87980000",False,"ChIJG3FJFHmbLIgRSvzFEEBK5ho","745C+QJ Hamilton, Ontario","87M2745C+QJ",2,"4.3","ChIJG3FJFHmbLIgRSvzFEEBK5ho","restaurant",974,"la luna downtown",459
499,"Mahal Restaurant - Pakistan/Indian Food Hamilton","OPERATIONAL","527 Upper Sherman Ave, Hamilton, ON L8V 3L9, Canada"," Hamilton",NULL,"43.23183000","-79.84700000","43.23322000","-79.84580000","43.23052000","-79.84850000",False,"ChIJsRgh2sibLIgR_G4MQzi0LKM","65J3+P5 Hamilton, Ontario","87M265J3+P5",2,"3.8","ChIJsRgh2sibLIgR_G4MQzi0LKM","restaurant",733,"mahal restaurant - pakistan/indian food hamilton",688
500,"Wild Orchid Restaurant Downtown Hamilton","OPERATIONAL","286 James St N, Hamilton, ON L8R 2L3, Canada"," Hamilton",NULL,"43.26355000","-79.86590000","43.26492000","-79.86460000","43.26222000","-79.86730000",False,"ChIJZQ0xnIebLIgRWZjv2XkTXUg","747M+CJ Hamilton, Ontario","87M2747M+CJ",2,"4.1","ChIJZQ0xnIebLIgRWZjv2XkTXUg","restaurant",574,"wild orchid restaurant downtown hamilton",430
501,"Toma La - The Portuguese Pit Stop","OPERATIONAL","1550 Upper James St #21, Hamilton, ON L9B 1J5, Canada"," Hamilton",NULL,"43.20377000","-79.89630000","43.20505000","-79.89500000","43.20235000","-79.89770000",False,"ChIJYyxUGpSaLIgR3oe4BODzL6A","6433+GF Hamilton, Ontario","87M26433+GF",2,"4.0","ChIJYyxUGpSaLIgR3oe4BODzL6A","restaurant",568,"toma la - the portuguese pit stop",172
502,"Barangas On The Beach","OPERATIONAL","380 Van Wagners Beach Rd, Hamilton, ON L8E 3L8, Canada"," Hamilton",NULL,"43.25569000","-79.76170000","43.25694000","-79.76050000","43.25424000","-79.76320000",False,"ChIJ307JQjWfLIgRgJwSUqa4_b8","764Q+78 Hamilton, Ontario","87M2764Q+78",2,"4.2","ChIJ307JQjWfLIgRgJwSUqa4_b8","restaurant",3494,"barangas on the beach",565
